timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,11.660227,1.999901,0.0,18.0001,9.660326,0.0,1.9999010562896729,-9.96031068887957,1.999901,1.999901
1,14.493032,3.9948814,0.0,28.491478,10.498151,0.0,3.9948813915252686,-10.598392295105132,1.9949803,-0.004920721
2,10.760487,5.9948797,0.0,34.062134,4.765607,4.0621337890625,5.994879722595215,-12.990374524738426,1.9999986,0.0050182343
3,9.970854,7.9948797,0.0,37.099937,1.9759741,7.099937438964844,7.994879722595215,-16.275848410767388,2.0,1.4305115e-06
4,11.433774,9.99488,0.0,38.997448,1.4388943,8.997447967529297,9.994879722595215,-19.533787493561412,2.0,0.0
5,10.872487,11.99488,0.0,38.150547,1.1223927,8.15054702758789,11.994879722595215,-17.52348872620619,2.0,0.0
6,7.490375,13.99488,0.0,31.681679,6.5045047,1.6816787719726562,13.994879722595215,-9.96786164518298,1.9999998,-2.3841858e-07
7,6.7290125,15.991724,0.0,23.150953,9.262712,0.0,15.991724014282227,-9.36286938216745,1.9968448,-0.003154993
8,11.721099,13.993229,0.0,21.202114,2.27213,0.0,13.993228912353516,-2.7715884814784992,-1.9984953,-3.99534
9,11.975097,11.993429,0.0,21.464169,0.018332481,0.0,11.993429183959961,-0.11845303748691016,-1.9998,-0.0013046265
10,13.566411,10.014423,0.0,25.569714,3.5519876,0.0,10.014423370361328,-3.653017257939121,-1.9790063,0.020793676
11,8.741677,11.930908,0.0,22.334335,3.189231,0.0,11.930908203125,-3.674604174552618,1.9164853,3.8954916
12,12.426991,10.529877,0.0,25.802422,1.8971148,0.0,10.529876708984375,-2.2989175860359587,-1.4010315,-3.3175168
13,11.699257,12.400316,0.0,25.589705,0.70105934,0.0,12.40031623840332,-1.1217283271631633,1.8704395,3.271471
14,13.909104,11.766282,0.0,28.48545,2.1428223,0.0,11.766282081604004,-2.424971787335288,-0.6340344,-2.504474
15,13.2126045,13.62781,0.0,29.590214,0.415205,0.0,13.627809524536133,-0.7578373650951953,1.8615272,2.4955616
16,14.003633,14.558803,0.0,29.3211,0.55517006,0.0,14.558802604675293,-0.6947734098633234,0.93099284,-0.93053436
17,11.296824,13.065083,0.0,28.238533,1.7682581,0.0,13.065082550048828,-2.0854151500495313,-1.4937196,-2.4247124
18,14.107889,14.494841,0.0,27.995436,0.38695145,0.0,14.494840621948242,-0.7507866641758731,1.4297581,2.9234776
19,10.810543,12.60948,0.0,26.26141,1.7989368,0.0,12.609479904174805,-2.2247168353151636,-1.885361,-3.315119
20,11.914588,13.06011,0.0,25.90488,1.1455221,0.0,13.060110092163086,-1.401653157203258,0.45063043,2.3359914
21,11.722994,11.588637,0.0,26.253984,0.1343565,0.0,11.588637351989746,-0.40014013221771805,-1.4714725,-1.9221029
22,13.549833,13.122936,0.0,27.088526,0.42689705,0.0,13.122936248779297,-0.8041888947484495,1.5342994,3.0057719
23,13.384098,11.999988,0.0,30.01401,1.3841105,0.014009475708007812,11.999987602233887,-1.734000933662296,-1.1229486,-2.657248
24,13.264094,13.9759245,0.0,30.631489,0.71183014,0.6314888000488281,13.975924491882324,-2.383494036479812,1.9759369,3.0988855
25,11.1094265,15.316805,0.0,27.691193,4.2073784,0.0,15.316804885864258,-4.337928286190399,1.3408799,-0.635057
26,12.527736,13.423319,0.0,28.0686,0.89558315,0.0,13.423318862915039,-1.3136939484801378,-1.8934863,-3.2343662
27,14.325422,13.277206,0.0,29.865986,1.0482159,0.0,13.277206420898438,-1.2302592690761198,-0.14611232,1.7473739
28,11.774265,14.546161,0.0,28.10537,2.7718954,0.0,14.546160697937012,-2.9768495075592227,1.2689543,1.4150666
29,11.9612875,13.0788555,0.0,28.710964,1.117568,0.0,13.078855514526367,-1.4645594169130813,-1.4673053,-2.7362595
30,14.1564045,14.563267,0.0,28.798576,0.40686226,0.0,14.56326675415039,-0.7762542443425122,1.4844108,2.951716
31,12.08464,12.8200655,0.0,28.905615,0.73542595,0.0,12.82006549835205,-1.1453475803308582,-1.743201,-3.2276118
32,15.999613,14.559977,0.0,30.933481,1.4396362,0.9334812164306641,14.559976577758789,-3.7419071425216526,1.7399116,3.4831126
33,13.274118,13.9033575,0.0,31.864216,0.6292391,1.8642158508300781,13.90335750579834,-4.630153269660152,-0.6566191,-2.3965306
34,11.221552,15.782816,0.0,28.506273,4.561264,0.0,15.782815933227539,-4.908844572523126,1.879458,2.536077
35,14.26461,13.894608,0.0,29.982662,0.37000275,0.0,13.894607543945312,-0.8411798738508214,-1.888208,-3.7676659
36,12.750303,14.19544,0.0,28.663609,1.445137,0.0,14.195440292358398,-1.6790830350366548,0.30083323,2.1890411
37,10.79054,13.114231,0.0,28.11452,2.3236914,0.0,13.11423110961914,-2.515956223088974,-1.0812097,-1.3820429
38,15.492982,14.609308,0.0,29.694498,0.88367367,0.0,14.609308242797852,-1.216056023676769,1.4950767,2.5762863
39,15.237443,13.014276,0.0,32.731636,2.2231674,2.7316360473632812,13.014275550842285,-8.075205798839418,-1.5950327,-3.0901093
40,14.735652,14.994757,0.0,33.358074,0.25910473,3.358074188232422,14.994756698608398,-7.4318318555952345,1.9804816,3.5755143
41,13.445496,16.540785,0.0,30.537441,3.0952892,0.5374412536621094,16.54078483581543,-4.290918682910823,1.5460277,-0.43445396
42,12.003377,14.595089,0.0,28.354383,2.591712,0.0,14.595088958740234,-3.038169353737228,-1.9456961,-3.4917238
