timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-714.4867,5.999594095141026,354.1459962044488,1.417705
200,-11465.157,49.151985703960925,5707.9489394233005,0.09999993
300,-27729.775,90.08695102923552,13819.79266120094,0.020003175
400,-26945.328,88.27728389579481,13428.473006046966,0.020003248
500,-26945.162,88.27701108533567,13428.39413693066,0.020006094
600,-13513.586,23.146346466060415,6745.166827674215,0.06017254
700,-2.7101376,2.078340201137865,0.2333339852419158,1.1309524
800,-3.954523,2.366164310090618,0.6768974332943799,1.5902345
900,-2.6958444,2.4041609027764377,0.02050276770392884,1.7675185
1000,-3.5233905,2.1088623311138774,0.5616354420053312,2.1414895
1100,-6.7548914,2.7663044844201097,1.868202519667193,1.7482375
1200,-7.0948243,2.666214501214034,2.099276633900672,1.5706999
