timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,11.315725,0.017525112,0.0,19.982475,11.298201,0.0,0.017525112256407738,-11.300828694148844,0.017525112,0.017525112
1,9.897049,0.035051353,0.0,30.416666,9.861998,0.41666603088378906,0.03505135327577591,-10.696208037898307,0.01752624,1.1269003e-06
2,7.5882115,0.060267307,0.0,37.55664,7.527944,7.556640625,0.06026730686426163,-22.643258556232624,0.025215954,0.0076897144
3,12.729442,0.08790455,0.0,49.515114,12.641537,19.515113830566406,0.08790455013513565,-51.6733869570381,0.027637245,0.0024212915
4,13.87838,0.1267626,0.0,63.338028,13.751617,33.33802795410156,0.12676259875297546,-80.43073975065234,0.038858056,0.011220811
5,11.8561,0.17443222,0.0,74.72398,11.681668,44.72398376464844,0.17443221807479858,-101.13290044999603,0.04766962,0.008811563
6,16.924984,0.22642824,0.0,91.590225,16.698555,61.59022521972656,0.22642824053764343,-139.88203195370477,0.05199603,0.0043264106
7,12.058946,0.29237783,0.0,104.26639,11.766568,74.26638793945312,0.2923778295516968,-160.30402938110205,0.065949574,0.013953544
8,13.913296,0.3605844,0.0,117.90306,13.5527115,87.90306091308594,0.36058440804481506,-189.3624727868588,0.06820658,0.0022570044
9,10.527958,0.43798494,0.0,129.09546,10.089973,99.095458984375,0.4379849433898926,-208.2856864336252,0.07740054,0.009193964
10,9.856952,0.5184442,0.0,138.35188,9.338508,108.35188293457031,0.5184441804885864,-226.04659191705647,0.08045923,0.0030586869
11,10.516798,0.6033872,0.0,148.80167,9.913411,118.80166625976562,0.603387176990509,-247.52145126170694,0.08494302,0.004483789
12,10.807121,0.6947034,0.0,158.7657,10.112418,128.7657012939453,0.6947034001350403,-267.6490162632587,0.09131622,0.0063732043
13,13.407992,0.79179007,0.0,171.7493,12.616202,141.74929809570312,0.7917900681495667,-296.12024451466766,0.097086675,0.0057704523
14,12.099634,0.8984422,0.0,183.43109,11.201192,153.43109130859375,0.8984422087669373,-318.06965219010607,0.106652156,0.00956548
15,12.915106,1.0103285,0.0,195.81036,11.904778,165.81036376953125,1.0103285312652588,-343.5316378974027,0.111886285,0.0052341297
16,12.26315,1.129805,0.0,207.88715,11.133346,177.88714599609375,1.1298049688339233,-366.9143749492712,0.11947649,0.0075902045
17,10.089723,1.2554104,0.0,217.98032,8.834312,187.98031616210938,1.2554104328155518,-384.80182322359354,0.12560545,0.0061289594
18,9.916307,1.3848081,0.0,226.71393,8.5315,196.71392822265625,1.38480806350708,-401.9661985348708,0.1293976,0.0037921518
19,8.373275,1.518954,0.0,234.44481,6.8543205,204.44480895996094,1.5189540386199951,-415.7511203525493,0.13414592,0.0047483146
20,8.197562,1.6560243,0.0,242.38008,6.541538,212.3800811767578,1.6560243368148804,-431.30884252465626,0.13707028,0.0029243678
21,10.925666,1.7973487,0.0,253.16766,9.128317,223.16766357421875,1.7973487377166748,-455.4711376941935,0.14132434,0.004254058
22,10.5247555,1.9472209,0.0,262.80957,8.577535,232.8095703125,1.9472209215164185,-474.20502865625116,0.14987215,0.008547813
23,12.192337,2.1021428,0.0,274.1133,10.090195,244.11331176757812,2.102142810821533,-498.32507433559147,0.15492189,0.0050497353
24,14.468284,2.264874,0.0,286.30325,12.203409,256.3032531738281,2.26487398147583,-524.8188232780171,0.16273111,0.0078092217
25,12.119334,2.4364083,0.0,296.61447,9.682926,266.6144714355469,2.436408281326294,-542.9213192646228,0.1715344,0.008803293
26,12.379074,2.6117094,0.0,307.06985,9.7673645,277.0698547363281,2.6117093563079834,-563.9162385263281,0.17530113,0.0037667304
27,14.398382,2.7931201,0.0,318.08163,11.605262,288.0816345214844,2.7931201457977295,-587.7781927177263,0.1814107,0.0061095655
