timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-985.8198,8.292545941141807,488.6911033331682,1.067006
200,-174.11166,4.515365733675896,84.73153456029739,0.98628265
300,-818.54596,6.982638965927731,405.6997712481846,1.2021196
400,-263.70242,4.488580406448475,129.53437761331514,1.0355345
500,-953.7725,9.655182144357603,471.9851331721951,1.0506096
600,-650.86206,5.964906622412423,322.37935597655576,1.0053278
700,-1193.7281,4.143056358291756,594.7096931485685,1.2484348
800,-1246.6952,11.096994344022125,617.7185080918039,1.1636231
900,-1857.4464,6.993634706880638,925.1421279661126,1.2559317
1000,-523.7391,4.986189286880257,259.3001717011622,1.1522992
1100,-356.9132,3.9944464492870666,176.3874538543315,1.0537876
1200,-809.2935,8.935400142113279,400.10406827164087,1.1194758
1300,-744.32776,6.685389216008374,368.74913516209386,1.0210828
1400,-153.53566,3.108388432421196,75.1395007396914,1.1036079
1500,-440.0232,7.329255217253124,216.2787591364271,0.9984123
1600,-232.04012,3.2712811021557298,114.30010973092558,1.2556944
1700,-530.87463,6.053979164144594,262.3378164799253,1.0482612
1800,-1270.4762,10.715382851964732,629.814872550885,0.96372104
1900,-235.24663,3.511655281141808,115.7956525663552,1.078293
2000,-1205.5757,11.63044194917339,596.8964409630831,1.1252038
