timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-295.56796,4.24856841395967,145.580245386504,1.1375123
200,-1026.672,9.291227014861162,508.59228953846264,1.416927
300,-497.292,4.33926534901094,246.384311513684,1.3292098
400,-723.96924,9.495987352943885,357.13876115889906,1.4283327
500,-333.7331,4.928951636030571,164.31217816026154,1.2667997
600,-940.853,11.328164144587932,464.6643403974023,1.2985861
700,-362.0997,8.546562672541873,176.68448500083264,1.2142309
800,-1134.432,7.027466455091298,563.6007955666203,1.3068718
900,-672.3519,5.410120403942061,333.3665474665764,1.4268787
1000,-134.22603,5.288782905293669,64.38307580473135,1.1259166
1100,-47.254433,3.5099132093376744,21.7882928616988,1.1012771
1200,-7.764836,2.5665666190348513,2.498125817165219,1.4386014
