timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,9.570035,1.74527,0.0,18.25473,7.824765,0.0,1.745270013809204,-8.086555777003497,1.74527,1.74527
1,14.371542,2.286112,0.0,30.595259,12.08543,0.5952587127685547,2.286112070083618,-13.423431447967811,0.54084206,-1.204428
2,10.103794,4.027115,0.0,36.81217,6.076679,6.812168121337891,4.0271148681640625,-19.90808421955765,1.7410028,1.2001607
3,9.394122,6.0235186,0.0,39.989758,3.3706036,9.989757537841797,6.0235185623168945,-23.47547933402742,1.9964037,0.2554009
4,9.677759,8.01941,0.0,42.353645,1.658349,12.353645324707031,8.019410133361816,-26.46548563966792,1.9958916,-0.0005121231
5,12.027175,10.005459,0.0,44.4595,2.021716,14.45949935913086,10.00545883178711,-31.041003685985928,1.9860487,-0.009842873
6,10.327951,11.821266,0.0,43.22339,1.4933147,13.223388671875,11.821266174316406,-28.0479049536497,1.8158078,-0.17024088
7,12.287175,12.962896,0.0,42.871067,0.67572117,12.87106704711914,12.962896347045898,-26.542358419547664,1.1416297,-0.6741781
8,11.378757,11.862241,0.0,43.283478,0.4834833,13.283477783203125,11.8622407913208,-27.329701446437838,-1.1006556,-2.2422853
9,11.520957,12.521775,0.0,43.019276,1.0008183,13.019275665283203,12.521775245666504,-27.248365867546227,0.6595342,1.7601898
10,14.877034,12.264579,0.0,46.45719,2.6124554,16.457191467285156,12.264578819274902,-35.631368879053554,-0.25719678,-0.916731
11,10.594085,12.095003,0.0,45.303093,1.5009184,15.303092956542969,12.095003128051758,-32.12434330757867,-0.16957617,0.087620616
12,16.350296,13.547087,0.0,48.99921,2.8032093,18.999210357666016,13.547086715698242,-41.036401249606484,1.4520838,1.62166
13,6.7441144,12.456949,0.0,43.98528,5.712835,13.985279083251953,12.456949234008789,-33.992120063293626,-1.0901377,-2.5422215
14,13.940628,14.268315,0.0,44.357853,0.32768726,14.357852935791016,14.268315315246582,-29.424114366747457,1.8113661,2.9015038
15,12.77255,12.476396,0.0,44.862274,0.29615402,14.862274169921875,12.476395606994629,-30.470629362193225,-1.79192,-3.603286
16,14.071812,12.452317,0.0,47.068592,1.6194944,17.068592071533203,12.452317237854004,-35.93466387891125,-0.024078608,1.7678413
17,12.941733,12.780855,0.0,48.95162,0.16087818,18.951618194580078,12.780855178833008,-38.11580038001847,0.32853818,0.3526168
18,13.421771,14.016619,0.0,49.00505,0.5948477,19.005050659179688,14.016618728637695,-38.75746291169882,1.2357638,0.9072256
19,12.09425,13.832047,0.0,48.574093,1.7377977,18.574092864990234,13.832047462463379,-39.03724323982988,-0.1845715,-1.4203353
20,12.66854,14.356937,0.0,48.563644,1.6883974,18.563644409179688,14.356937408447266,-38.91287914476821,0.5248897,0.7094612
21,11.57138,13.992397,0.0,46.768974,2.4210176,16.76897430419922,13.99239730834961,-36.06613355303382,-0.3645401,-0.8894298
22,10.39361,13.792178,0.0,43.54354,3.3985682,13.543540954589844,13.7921781539917,-30.51209670393674,-0.20021951,0.16432059
23,12.098114,13.038093,0.0,42.79999,0.9399786,12.799991607666016,13.038092613220215,-26.63305013801918,-0.75408554,-0.553866
24,15.672291,11.92634,0.0,47.259193,3.7459507,17.259193420410156,11.926340103149414,-38.3556890202314,-1.1117526,-0.3576671
25,10.794273,12.085376,0.0,47.05864,1.2911024,17.058639526367188,12.085375785827637,-35.54341534146454,0.15903544,1.2707881
26,9.864578,13.804675,0.0,44.768787,3.9400969,14.768787384033203,13.804675102233887,-33.719662167792904,1.7192993,1.5602639
27,15.739501,13.854379,0.0,47.99212,1.8851223,17.99211883544922,13.854378700256348,-38.03880490424609,0.04970336,-1.669596
28,11.803697,12.465015,0.0,48.648506,0.6613188,18.64850616455078,12.465015411376953,-38.17170644943757,-1.3893634,-1.4390668
29,12.644917,14.109558,0.0,48.140274,1.4646416,18.140274047851562,14.10955810546875,-38.1308064492076,1.6445427,3.033906
30,13.087882,13.837449,0.0,48.855637,0.74956703,18.855636596679688,13.837449073791504,-38.66610812563753,-0.27210867,-1.9166514
31,13.579135,13.964648,0.0,49.373802,0.3855133,19.373802185058594,13.964648246765137,-39.17941204757168,0.12719941,0.3993081
32,11.150396,13.92499,0.0,47.685593,2.7745934,17.685592651367188,13.924989700317383,-38.16444732580532,-0.039658546,-0.16685796
33,14.448248,14.438482,0.0,49.131542,0.009765625,19.131542205810547,14.438482284545898,-38.3538377780945,0.5134921,0.55315065
