timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-360.68152,3.536734170415371,178.47213693925957,1.4404427
200,-606.5934,5.947775750077776,300.27192272631305,0.02
300,-1453.0636,13.520359162701148,719.7205937076994,0.02
400,-961.85315,10.76913185953142,475.49099201436604,0.02
500,-464.81134,5.749207323241674,229.48004519180398,0.02
600,-698.2919,6.579464028591658,345.8052332708223,0.02
700,-606.5936,5.947775750077776,300.27192272631305,0.02
800,-961.85315,10.76913185953142,475.49099201436604,0.02
900,-1267.4917,11.5822751078941,627.9037018875623,0.02
1000,-606.5936,5.947775750077776,300.27192272631305,0.02
1100,-606.5936,5.947775750077776,300.27192272631305,0.02
1200,-1109.4031,12.804339259520749,548.248341825928,0.02
