timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-480.07776,4.878008198641885,237.50352425941398,1.3847609
200,-510.3012,5.195911120740128,252.40654426306327,1.9855576
300,-2781.8396,7.10460346242092,1387.243318646077,1.6259766
400,-619.87476,7.329067574219315,306.15204223363816,1.600119
500,-78.28189,3.4569309657159413,37.31549585368595,1.3395376
600,-781.081,7.8611040947493676,386.5240942486052,0.9218407
700,-697.5619,7.760263626381188,344.820381277689,0.97292626
800,-284.37753,4.3975519769510445,139.9209246886536,0.8667267
900,-304.2199,6.889539461117943,148.5864857765649,0.8226442
1000,-86.69492,3.515714160564895,41.503128132386166,1.143327
1100,-17.095043,3.0012784395019243,6.968325241272996,1.0483513
1200,-19.399055,2.487607701486281,8.366981090328954,1.2452012
