timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,11.776876,1.8411431,0.0,18.158857,9.935734,0.0,1.8411431312561035,-10.211904704446924,1.8411431,1.8411431
1,10.77866,3.6426885,0.0,26.211462,7.135971,0.0,3.642688512802124,-7.230008041599,1.8015454,-0.03959775
2,5.103728,5.347093,0.0,25.765087,0.24336529,0.0,5.347093105316162,-0.3382997588974179,1.7044046,-0.09714079
3,10.087693,6.678055,0.0,29.371515,3.4096384,0.0,6.6780548095703125,-3.5135310405318556,1.330962,-0.37344265
4,12.102744,8.320578,0.0,33.888298,3.7821665,3.8882980346679688,8.320577621459961,-11.672045739413637,1.6425223,0.3115604
5,10.107598,10.062722,0.0,33.886124,0.0448761,3.8861236572265625,10.062722206115723,-7.91419135952499,1.7421446,0.09962225
6,7.40758,11.764345,0.0,29.950266,4.3567653,0.0,11.764345169067383,-4.4458984089120355,1.7016234,-0.040521145
7,10.977139,13.401066,0.0,27.870522,2.4239264,0.0,13.401065826416016,-2.512252776614618,1.6367207,-0.06490278
8,8.04731,15.1704235,0.0,20.54114,7.1231136,0.0,15.17042350769043,-7.22484495166931,1.7693572,0.13263655
9,13.035118,16.878908,0.0,17.660622,3.84379,0.0,16.878908157348633,-3.9353018841292027,1.7084851,-0.060872078
10,11.827444,18.742401,0.0,11.2598,6.914957,0.0,18.742401123046875,-7.023632260323737,1.8634939,0.1550088
11,8.969951,20.602247,0.0,-0.91245395,11.632297,5.912454128265381,20.60224723815918,-70.85019304420894,1.8598466,-0.0036473274
12,10.739468,22.480003,0.0,-11.900612,11.740536,16.900611877441406,22.480003356933594,-180.84233596064746,1.8777552,0.017908573
13,9.862108,24.388023,0.0,-26.035248,14.525915,31.035247802734375,24.388023376464844,-324.9768275594508,1.9080205,0.030265331
14,12.124911,26.28344,0.0,-38.879585,14.158528,43.87958526611328,26.28343963623047,-453.0504163260593,1.8954163,-0.012604237
15,12.444213,28.117428,0.0,-53.902447,15.673215,58.90244674682617,28.117427825927734,-604.795523542809,1.8339882,-0.06142807
16,10.006687,29.931824,0.0,-72.70687,19.925137,77.70687103271484,29.93182373046875,-797.086552042498,1.814395,-0.019593239
17,12.731533,31.81549,0.0,-90.32386,19.083958,95.32386016845703,31.81549072265625,-972.4236390402536,1.8836663,0.069271326
18,11.09115,33.64242,0.0,-112.58691,22.551271,117.58690643310547,33.64242172241211,-1198.5173603812732,1.82693,-0.05673623
19,14.122236,35.528404,0.0,-133.7532,21.406168,138.75320434570312,35.528404235839844,-1409.038430965593,1.8859811,0.059051037
20,11.82924,37.36735,0.0,-158.09784,25.538113,163.09783935546875,37.36735153198242,-1656.6130835059937,1.8389475,-0.04703355
21,13.486268,39.238438,0.0,-183.08308,25.75217,188.0830841064453,39.23843765258789,-1906.6797944211949,1.8710861,0.032138586
22,10.262719,41.05165,0.0,-213.40533,30.788933,218.40533447265625,41.05165100097656,-2214.938651954837,1.8132117,-0.05787444
23,12.3610935,42.90726,0.0,-243.66946,30.546167,248.66946411132812,42.90726089477539,-2517.3378886537203,1.8556085,0.042396784
24,13.556867,44.672554,0.0,-274.17627,31.115688,279.17626953125,44.67255401611328,-2822.9755307127175,1.7652936,-0.090314865
25,10.082015,46.36171,0.0,-310.21637,36.279694,315.21636962890625,46.36170959472656,-3188.535370915561,1.6891563,-0.076137304
26,12.650292,48.21971,0.0,-345.21378,35.56942,350.2137756347656,48.21971130371094,-3537.8170799370523,1.8580036,0.16884732
27,8.3157,49.996986,0.0,-385.85773,41.681286,390.85772705078125,49.996986389160156,-3950.3553533562713,1.7772768,-0.08072686
28,11.826781,51.915897,0.0,-425.28128,40.089115,430.2812805175781,51.915897369384766,-4343.0119400661115,1.9189122,0.14163542
29,14.577342,53.756653,0.0,-462.99933,39.17931,467.99932861328125,53.75665283203125,-4719.272369494758,1.8407536,-0.07815862
30,14.092696,55.501816,0.0,-503.4854,41.40912,508.48541259765625,55.50181579589844,-5126.35991133425,1.7451644,-0.09558916
31,10.929659,57.29398,0.0,-550.09204,46.36432,555.092041015625,57.29397964477539,-5597.3789572269725,1.7921634,0.046998978
32,14.472364,59.190086,0.0,-594.3176,44.71772,599.317626953125,59.190086364746094,-6037.998949095484,1.8961079,0.10394454
33,12.776877,60.996754,0.0,-642.413,48.219875,647.4130249023438,60.99675369262695,-6522.449160492057,1.8066669,-0.08944106
34,10.953299,62.861565,0.0,-693.6561,51.908264,698.6561279296875,62.86156463623047,-7038.568459974739,1.86481,0.05814314
35,10.368209,64.76924,0.0,-747.32684,54.40103,752.3268432617188,64.76924133300781,-7577.768980670261,1.9076738,0.042863846
36,12.098032,66.68873,0.0,-800.85596,54.5907,805.85595703125,66.68872833251953,-8113.247274181393,1.9194841,0.011810303
37,14.669568,68.57863,0.0,-853.3031,53.90906,858.3031005859375,68.57862854003906,-8637.037374298801,1.8899021,-0.029582024
38,12.953707,70.401276,0.0,-910.78375,57.44757,915.7837524414062,70.40127563476562,-9215.382751765237,1.8226485,-0.06725359
39,11.02341,72.272606,0.0,-971.87244,61.249195,976.8724365234375,72.2726058959961,-9830.072035826148,1.8713279,0.04867935
40,13.542077,74.182556,0.0,-1031.1324,60.64048,1036.1324462890625,74.18255615234375,-10422.064061653384,1.9099522,0.038624287
41,15.388877,76.03172,0.0,-1090.4116,60.642845,1095.41162109375,76.03172302246094,-11014.857221281525,1.8491693,-0.06078291
42,11.809001,77.81029,0.0,-1155.1183,66.00129,1160.1182861328125,77.81028747558594,-11667.280053838398,1.7785673,-0.07060194
43,10.37193,79.694305,0.0,-1223.1572,69.32237,1228.1572265625,79.69430541992188,-12350.999266204442,1.8840172,0.105449915
