timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-833.3271,8.754970633901188,412.19469908114684,1.3290336
200,-544.23236,10.520850213827481,266.772758612581,0.94321924
300,-154.60591,3.242747952055046,75.58639965859767,1.3845084
400,-1065.1007,9.373396013843232,527.7731755491295,1.3208661
500,-1156.8411,10.574197058520223,573.0431538911481,1.2846364
600,-833.54803,9.646758188350184,411.85338685393896,1.4167293
700,-1036.0286,8.89548541970778,513.4704941759176,1.3591348
800,-168.4806,4.175092311871595,82.05429610432876,1.424482
900,-6404.02,19.198568626203183,3192.3267859956172,1.139319
1000,-1588.5409,18.10278616299622,785.1300075595788,1.1480526
1100,-7027.865,31.212033305402432,3498.2374044227313,1.1374257
1200,-4975.0674,23.40400465227019,2475.748714172647,1.0796632
