timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,11.38924,1.6213069,0.0,18.378693,9.767933,0.0,1.6213068962097168,-10.011129512107342,1.6213069,1.6213069
1,13.543784,3.2321148,13.156767379984998,28.303347,10.311669,0.0,9.924652588114881,-10.393260020536413,1.6108079,-0.010499001
2,12.072212,5.0529194,11.757412569652018,35.00784,7.019293,5.007839202880859,6.704493181834636,-17.147010267950577,1.8208046,0.2099967
3,11.766244,6.8481426,11.542621815702063,39.702316,4.9181013,9.702316284179688,4.694479191800696,-24.415057171472434,1.7952235,-0.025581121
4,11.261708,8.638205,11.458115244231898,42.52223,2.6235037,12.522228240966797,2.819910669646937,-27.75798043614116,1.7900624,-0.005161047
5,12.159054,10.391846,12.337261508871201,44.467644,1.7672081,14.467643737792969,1.945415805746201,-30.79382113219913,1.7536411,-0.0364213
6,11.142205,12.174729,11.335913329164853,43.62883,1.0325241,13.628829956054688,0.8388160180641506,-28.382249324081673,1.7828839,0.029242754
7,9.417793,13.906584,10.310315516402014,40.03256,4.4887905,10.03255844116211,3.5962682696087285,-24.64560634950849,1.7318547,-0.051029205
8,13.966185,15.5833645,14.687714754554207,39.13691,1.6171799,9.136909484863281,0.8956497321401287,-19.980347292390974,1.6767809,-0.055073738
9,10.65411,17.387077,10.673251643048886,32.423084,6.7329674,2.423084259033203,6.713825688494083,-11.682015846300423,1.8037133,0.12693238
10,12.828393,18.915382,14.374651642367994,27.882355,6.0869894,0.0,4.540730742885913,-6.190945626112649,1.528305,-0.27540827
11,15.363644,20.078758,15.385339767373182,23.188936,4.7151146,0.0,4.693418472372912,-4.809776058873435,1.1633761,-0.36492896
12,11.133953,19.22617,11.674999093532335,15.637765,8.0922165,0.0,7.551170492649305,-8.336442641594365,-0.8525883,-2.0159645
13,14.817662,17.42449,15.506717372387556,13.719993,2.6068277,0.0,1.9177726025880304,-2.7918210136393444,-1.8016802,-0.9490919
14,12.1758585,15.601485,12.724491036920597,10.8429985,3.4256268,0.0,2.8769942154597743,-3.5189096254831718,-1.8230048,-0.021324635
15,12.409777,13.827433,12.48868524026824,9.504251,1.417656,0.0,1.3387473921780497,-1.5112540809066353,-1.7740531,0.048951745
16,11.274297,12.080566,12.268019549048887,9.691704,0.80626965,0.0,0.18745314279888703,-0.8963316843314697,-1.7468657,0.027187347
17,11.459671,10.458862,11.371497617832915,10.60434,1.0008087,0.0,0.9126353131454152,-1.0944103540980947,-1.6217039,0.12516189
18,11.87446,9.167525,12.661661698478866,14.098475,2.706935,0.0,3.4941364070359953,-2.804538146545303,-1.2913368,0.3303671
19,11.907354,9.531663,12.620973524814843,17.187786,2.3756914,0.0,3.0893105838358395,-2.5594460502140937,0.3641374,1.6554742
20,10.334994,10.696197,10.794331562833293,17.285921,0.36120224,0.0,0.09813500674198394,-0.49946881033759105,1.1645339,0.80039644
21,11.043669,11.74262,11.986851820988306,17.530153,0.6989517,0.0,0.24423135284865793,-0.7630836426243928,1.0464239,-0.11810994
22,12.353733,12.515181,13.489153268167058,18.504126,0.16144753,0.0,0.9739726803985036,-0.22746192431693757,0.7725599,-0.27386403
23,13.416593,13.223679,14.613818304717313,19.894264,0.19291401,0.0,1.3901397158501254,-0.2347449761180478,0.7084985,-0.0640614
24,14.573395,14.045203,15.076607991349931,20.92567,0.52819157,0.0,1.0314047824265913,-0.5805699834777993,0.8215246,0.11302614
25,13.843512,14.817678,14.820547664779667,20.92854,0.97416687,0.0,0.002869213241581292,-1.01769565858217,0.7724757,-0.0490489
26,16.100985,15.403256,16.805441233961233,22.330725,0.69772816,0.0,1.402184817640432,-0.745696738011496,0.5855782,-0.18689752
27,10.853073,16.02874,10.795267943597253,17.097252,5.175667,0.0,5.233471985601966,-5.210931051830146,0.62548256,0.039904356
28,15.481066,15.002159,16.484841850726752,18.579935,0.47890663,0.0,1.4826827320744087,-0.6954425129283841,-1.026581,-1.6520636
29,11.578029,14.397134,12.495217366984036,16.678019,2.8191051,0.0,1.9019164602254364,-2.891511737504665,-0.60502553,0.42155552
30,13.294836,13.733403,14.517686658283196,17.462301,0.43856716,0.0,0.7842834524116142,-0.47762421547333744,-0.66373086,-0.05870533
31,11.551005,13.479911,12.996115209033462,16.978506,1.9289055,0.0,0.48379564149144016,-1.9826039822980288,-0.2534927,0.41023815
32,14.959588,13.327643,15.992355196266999,19.643217,1.6319447,0.0,2.664711801796784,-1.6496807918220622,-0.1522677,0.10122502
