timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-189.38359,3.4380502095309153,92.87930242347929,1.355995
200,-472.3177,7.473025247694907,232.3010517604767,1.7266061
300,-132.81906,3.906137772992186,64.37233220384724,1.2218833
400,-6834.6777,30.578828008912765,3401.9687833280545,0.88383913
500,-997.05615,12.172240813833344,492.3424441724087,1.4103023
600,-1872.0923,11.685385830204709,930.102441777144,1.3598846
700,-1978.5676,5.987237710988195,986.1878430318337,1.3825079
800,-151.8321,4.14348191873625,73.76613796806399,1.0322042
900,-55.226425,3.261116026922273,25.89106492643298,1.2700181
1000,-71.21781,4.187606241676187,33.42634432262019,1.1704686
1100,-12.673022,3.271604611689203,4.616055329966393,1.0489427
1200,-8.004172,2.802893805904093,2.514362152601002,1.1109987
