timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-1174.1616,11.044650040175654,581.4647236384997,1.3367859
200,-976.95795,10.600256481229328,483.0566934800508,1.4831907
300,-327.71286,6.552343635991727,160.43488231066604,2.006178
400,-5966.087,23.44284471613447,2971.218731537583,1.2947297
500,-2820.604,15.608352895267828,1402.3678405922992,1.7219718
600,-168.7242,4.497096844867453,82.00919079332085,1.4766651
700,-142.15228,5.342795058733876,68.31367927468335,1.302999
800,-154.3316,5.776461833055659,74.18380303092019,1.3028451
900,-186.80992,5.744399452668008,90.44368260069065,1.2468888
1000,-39.654457,2.7714518814702926,18.351875972041825,1.2908195
1100,-35.282063,3.2882668001786657,15.907363729803983,1.2611653
1200,-85.933556,5.050004820577024,40.363893686615356,1.0135047
