timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,12.042644,1.9359953,0.0,18.064005,10.106648,0.0,1.93599534034729,-10.39704724851325,1.9359953,1.9359953
1,10.061851,3.8340724,0.0,24.668617,6.2277784,0.0,3.8340723514556885,-6.3264739493042,1.898077,-0.03791833
2,12.101682,5.7221212,0.0,31.139845,6.3795605,1.1398448944091797,5.722121238708496,-8.754656734850913,1.8880486,-0.010028362
3,7.973121,7.647971,0.0,31.727007,0.32515,1.7270069122314453,7.647971153259277,-3.879238088949042,1.9258502,0.037801504
4,11.399056,9.433772,0.0,32.497993,1.9652843,2.4979934692382812,9.433772087097168,-7.064564467921693,1.7858012,-0.14004898
5,9.058667,11.335417,0.0,30.724567,2.2767496,0.7245674133300781,11.335416793823242,-3.8325489255584078,1.9016452,0.11584401
6,11.926524,13.086278,0.0,29.968796,1.1597538,0.0,13.086277961730957,-1.2623749225499363,1.7508609,-0.15078425
7,10.057604,14.840637,0.0,25.358152,4.7830334,0.0,14.84063720703125,-4.871100840905603,1.7543595,0.0034985542
8,9.187906,13.849701,0.0,21.278145,4.6617947,0.0,13.849700927734375,-4.985870669818832,-0.99093604,-2.7452955
9,14.6739645,12.297911,0.0,24.398008,2.3760538,0.0,12.297910690307617,-2.5097285454848244,-1.5517905,-0.56085443
10,11.972263,14.046193,0.0,22.436197,2.0739298,0.0,14.04619312286377,-2.4913508470130115,1.7482827,3.3000731
11,11.611,13.496271,0.0,21.618914,1.8852711,0.0,13.496271133422852,-2.1425872067617906,-0.54992175,-2.2982044
12,12.113403,13.036595,0.0,21.657421,0.923192,0.0,13.036595344543457,-0.9552001292786816,-0.45967543,0.09024632
13,11.52959,13.276858,0.0,20.46585,1.7472687,0.0,13.27685832977295,-1.8292754911178566,0.24026299,0.6999384
14,8.562546,12.572852,0.0,17.092756,4.0103064,0.0,12.57285213470459,-4.139933813607222,-0.70400655,-0.94426954
15,13.598263,10.836315,0.0,20.560066,2.7619476,0.0,10.836315155029297,-2.9520278578962333,-1.7365365,-1.03253
16,11.075107,12.480576,0.0,19.696392,1.405469,0.0,12.480575561523438,-1.8257614955198704,1.6442599,3.3807964
17,11.699465,12.095147,0.0,20.684563,0.39568233,0.0,12.095147132873535,-0.6179222023344373,-0.38542807,-2.029688
18,11.812148,12.738006,0.0,20.826824,0.92585754,0.0,12.738005638122559,-1.0608286922343861,0.6428585,1.0282866
19,11.638712,12.837327,0.0,20.10939,1.1986151,0.0,12.837327003479004,-1.2579350290999738,0.09932113,-0.5435374
20,10.044352,12.483221,0.0,18.654903,2.4388695,0.0,12.483221054077148,-2.5019174638680663,-0.35410607,-0.4534272
21,13.588345,11.344678,0.0,21.847115,2.2436666,0.0,11.344677925109863,-2.3790370360421864,-1.1385431,-0.78443706
