timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,11.598403,1.8821774,0.0,18.117823,9.716226,0.0,1.8821773529052734,-9.998551858108794,1.8821774,1.8821774
1,10.374873,3.6462164,0.0,24.401207,6.728657,0.0,3.64621639251709,-6.828672775049151,1.764039,-0.11813831
2,9.857805,5.5245204,0.0,28.44608,4.333285,0.0,5.524520397186279,-4.4386267846376,1.878304,0.114264965
3,10.71212,7.4009337,0.0,31.981457,3.3111863,1.9814567565917969,7.400933742523193,-7.368109677890544,1.8764133,-0.0018906593
4,10.134545,9.298187,0.0,33.27495,0.8363581,3.2749481201171875,9.298187255859375,-7.483201495391651,1.8972535,0.020840168
5,11.678346,11.17625,0.0,33.55459,0.5020952,3.5545883178710938,11.176250457763672,-7.707093051243186,1.8780637,-0.019189835
6,9.896789,13.0165615,0.0,30.471794,3.119773,0.47179412841796875,13.016561508178711,-4.159151622132834,1.8403108,-0.037752867
7,6.393021,14.119721,0.0,23.049416,7.7267003,0.0,14.119721412658691,-7.85557348965429,1.1031599,-0.7371509
8,6.2097807,12.890589,0.0,15.925464,6.680808,0.0,12.890588760375977,-6.975494231450134,-1.2291329,-2.3322928
9,7.6917872,11.055942,0.0,13.1779175,3.3641543,0.0,11.055941581726074,-3.5164381218099994,-1.8346473,-0.6055144
10,10.903654,9.18505,0.0,15.440076,1.7186041,0.0,9.185050010681152,-1.8157727393530418,-1.8708916,-0.036244273
11,8.665549,7.4553246,0.0,17.187538,1.2102246,0.0,7.455324649810791,-1.3108270937928488,-1.7297255,0.14116609
12,10.831621,7.1615953,0.0,22.06152,3.6700258,0.0,7.161595344543457,-3.828311728956468,-0.29372942,1.435996
13,9.67581,8.387472,0.0,24.002481,1.2883377,0.0,8.387472152709961,-1.5015920335181043,1.2258766,1.519606
14,10.246961,9.807966,0.0,26.11969,0.4389944,0.0,9.807966232299805,-0.5294807255778942,1.4204936,0.19461703
15,8.435148,11.102304,0.0,24.098333,2.6671562,0.0,11.102304458618164,-2.74448827253425,1.2943382,-0.12615538
16,7.124049,11.376411,0.0,20.987774,4.2523623,0.0,11.376411437988281,-4.368090530858265,0.27410722,-1.020231
17,12.841317,10.628848,0.0,23.207087,2.212469,0.0,10.6288480758667,-2.352014002872897,-0.7475636,-1.0216708
18,11.139045,9.636692,0.0,25.282047,1.5023527,0.0,9.63669204711914,-1.576420023785012,-0.9921559,-0.24459231
19,11.475248,10.545799,0.0,26.862522,0.9294491,0.0,10.545799255371094,-1.1650303770806492,0.90910697,1.9012629
20,11.84125,11.429085,0.0,28.254547,0.41216564,0.0,11.429084777832031,-0.45891220631688867,0.88328576,-0.025821209
21,13.4575205,12.220566,0.0,30.58282,1.2369547,0.5828208923339844,12.220565795898438,-2.451351179889171,0.7914808,-0.09180498
22,12.191966,12.989526,0.0,30.709305,0.79755974,0.7093048095703125,12.98952579498291,-2.256871538072094,0.76896,-0.02252078
23,12.303473,13.694142,0.0,30.588102,1.3906689,0.5881023406982422,13.69414234161377,-2.608537091556549,0.70461655,-0.06434345
24,14.644166,13.850548,0.0,33.030426,0.7936182,3.030426025390625,13.850547790527344,-6.917113810411328,0.15640545,-0.5482111
25,11.96611,14.242937,0.0,31.092054,2.2768269,1.0920543670654297,14.242937088012695,-4.504153835261926,0.39238954,0.23598409
26,12.14376,14.352205,0.0,29.314377,2.2084455,0.0,14.352205276489258,-2.242221169712238,0.109268665,-0.28312087
27,9.00616,13.596712,0.0,25.197407,4.5905523,0.0,13.596712112426758,-4.714803357546392,-0.7554928,-0.8647615
28,8.954624,12.661599,0.0,22.911367,3.706975,0.0,12.661599159240723,-3.7716926654496135,-0.9351127,-0.17961991
29,11.143417,11.482327,0.0,23.862883,0.3389101,0.0,11.482327461242676,-0.4222900022126801,-1.1792713,-0.24415863
30,15.186172,10.60662,0.0,29.289726,4.5795517,0.0,10.606619834899902,-4.653693327456267,-0.875708,0.30356336
31,12.822992,11.439864,0.0,31.792105,1.3831282,1.792104721069336,11.439864158630371,-5.179893846937091,0.8332443,1.7089523
32,17.019354,13.012059,0.0,36.620193,4.0072947,6.6201934814453125,13.012059211730957,-17.400182261041383,1.5721948,0.7389505
33,12.612496,14.44366,0.0,36.031715,1.8311634,6.031715393066406,14.443659782409668,-13.98023356852718,1.4316008,-0.140594
34,12.808997,15.922985,0.0,34.649414,3.113988,4.6494140625,15.922985076904297,-12.491555470150656,1.4793258,0.047724962
35,14.670843,16.178762,0.0,33.948914,1.5079193,3.94891357421875,16.178762435913086,-9.54088816622527,0.25577807,-1.2235477
36,11.929036,15.415001,0.0,31.674118,3.4859648,1.6741180419921875,15.415000915527344,-6.97434153104107,-0.7637613,-1.0195394
37,10.473708,15.013281,0.0,29.091951,4.5395727,0.0,15.013280868530273,-4.595862923411506,-0.40171957,0.3620417
38,14.205132,14.30239,0.0,30.429838,0.09725857,0.4298381805419922,14.302390098571777,-1.0233971969261404,-0.7108909,-0.30917132
39,15.255098,13.423687,0.0,33.29166,1.8314114,3.2916603088378906,13.423686981201172,-8.475449235768917,-0.87870336,-0.16781247
40,14.949934,14.025489,0.0,35.62053,0.92444515,5.6205291748046875,14.02548885345459,-12.343646827713659,0.6018019,1.4805052
41,12.0130625,15.197069,0.0,32.74916,3.1840067,2.7491607666015625,15.19706916809082,-8.797887008896092,1.1715801,0.5697782
42,10.617933,15.360546,0.0,28.718332,4.742613,0.0,15.360546112060547,-4.851596913419815,0.1634767,-1.0081034
43,17.35516,14.309508,0.0,32.619026,3.0456514,2.6190261840820312,14.309508323669434,-8.457709155966352,-1.0510381,-1.2145149
44,11.940689,13.476172,0.0,31.938107,1.5354834,1.9381065368652344,13.47617244720459,-5.475134126952518,-0.8333359,0.21770227
45,15.63577,14.425825,0.0,34.44031,1.2099447,4.440311431884766,14.425825119018555,-10.316348447639733,0.94965243,1.7829883
46,14.61135,14.740219,0.0,35.675808,0.12886906,5.675807952880859,14.740219116210938,-11.559728860802021,0.314394,-0.63525844
47,12.403605,15.6394005,0.0,33.17894,3.235795,3.1789398193359375,15.639400482177734,-9.697111923936482,0.8991816,0.5847876
48,15.454357,15.5733385,0.0,34.194504,0.11898136,4.1945037841796875,15.573338508605957,-8.607812766350895,-0.066061735,-0.96524334
49,16.22207,15.036443,0.0,36.394688,1.1856279,6.394687652587891,15.036442756652832,-14.048928242341827,-0.5368955,-0.47083378
50,13.253195,15.593357,0.0,34.695446,2.3401623,4.695446014404297,15.59335708618164,-11.868278890500402,0.55691385,1.0938094
51,10.503904,15.966716,0.0,29.059895,5.4628115,0.0,15.966715812683105,-5.499835313914531,0.37335896,-0.18355489
52,12.458913,14.793959,0.0,27.062622,2.3350458,0.0,14.79395866394043,-2.5482954200552097,-1.1727576,-1.5461166
53,17.030767,13.259686,0.0,31.22429,3.771081,1.2242908477783203,13.259686470031738,-6.33252924033178,-1.5342718,-0.3615142
54,16.62737,12.61919,0.0,35.464832,4.0081806,5.464832305908203,12.619190216064453,-15.059251683543895,-0.64049673,0.8937751
