timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,12.249556,1.7939272,0.0,18.206074,10.455628,0.0,1.7939271926879883,-10.724717379336589,1.7939272,1.7939272
1,6.9807076,3.462699,0.0,22.455673,3.5180087,0.0,3.4626989364624023,-3.6139627079719325,1.6687717,-0.12515545
2,10.786925,4.9290957,0.0,28.575739,5.8578296,0.0,4.92909574508667,-5.95138682712907,1.4663968,-0.20237494
3,13.707077,6.643506,0.0,35.341213,7.063571,5.341213226318359,6.643506050109863,-17.85651738760241,1.7144105,0.24801373
4,10.90385,8.460669,0.0,38.246887,2.443181,8.24688720703125,8.460668563842773,-19.03808678505218,1.817162,0.10275149
5,9.369191,10.096735,0.0,38.399258,0.72754383,8.39925765991211,10.096735000610352,-17.625971193575047,1.6360662,-0.18109584
6,10.00585,11.579586,0.0,37.312,1.5737362,7.312000274658203,11.579586029052734,-16.28720046961783,1.4828513,-0.15321493
7,10.973206,12.84943,0.0,36.28581,1.8762245,6.285808563232422,12.849430084228516,-14.532634842999364,1.269844,-0.21300721
8,12.834819,13.854965,0.0,35.461514,1.0201464,5.461513519287109,13.854965209960938,-12.019879732817607,1.0055356,-0.26430845
9,14.516321,14.552079,0.0,35.330017,0.03575802,5.33001708984375,14.552079200744629,-10.761488639751757,0.697114,-0.3084216
10,11.135838,14.952852,0.0,32.3389,3.8170147,2.3389015197753906,14.952852249145508,-8.544492282523873,0.4007728,-0.29634118
11,7.176024,14.645034,0.0,24.91597,7.46901,0.0,14.645033836364746,-7.5552597349578265,-0.30781817,-0.708591
12,13.281445,13.396756,0.0,25.675564,0.11531162,0.0,13.396756172180176,-0.2717711305051296,-1.2482779,-0.9404597
13,10.021412,12.146226,0.0,24.840239,2.124814,0.0,12.146225929260254,-2.187565946963417,-1.2505299,-0.0022519827
14,9.183761,11.68711,0.0,23.40186,2.5033493,0.0,11.68710994720459,-2.6054468296995417,-0.45911622,0.79141366
15,10.216205,11.169373,0.0,22.999023,0.9531679,0.0,11.16937255859375,-0.9849173660359245,-0.5177374,-0.058621168
16,12.370869,10.714221,0.0,26.027037,1.6566477,0.0,10.714221000671387,-1.6856633660660538,-0.4551518,0.06258559
17,13.911261,11.051353,0.0,29.37172,2.8599072,0.0,11.051353454589844,-2.955992552096138,0.33713245,0.79228425
18,10.731291,11.82706,0.0,28.688578,1.0957689,0.0,11.827059745788574,-1.1784116244076,0.7757063,0.43857384
19,13.985229,12.213926,0.0,31.198763,1.7713022,1.1987628936767578,12.213926315307617,-4.227056229574194,0.3868668,-0.38883948
20,15.116998,12.83437,0.0,35.681465,2.282628,5.681465148925781,12.834369659423828,-13.699941488035616,0.6204436,0.23357677
21,11.775898,13.909089,0.0,34.590794,2.133191,4.590793609619141,13.909089088439941,-11.413944584528892,1.0747192,0.4542756
22,10.9761,14.427013,0.0,31.343714,3.4509134,1.3437137603759766,14.427013397216797,-6.219917472951586,0.51792455,-0.55679464
