timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-1013.58,11.33240749847543,501.01880166474473,1.5734878
200,-400.00363,8.541438283636644,195.6272360143123,1.4311665
300,-311.85165,4.714142465484985,153.48858573107495,1.1670886
400,-676.53674,7.4049281316356765,334.48261070513587,1.2122034
500,-1445.5413,4.9064931865617725,720.2145308405788,1.419628
600,-1168.3687,9.183516347429988,579.508508703691,1.1484553
700,-2635.465,8.531836474903653,1313.37412196667,1.2667418
800,-778.81464,4.576339309081322,387.0333630240979,1.2095813
900,-519.4754,4.158452170294973,257.55875522667486,1.4551984
1000,-7.739014,2.9435741805661206,2.3041755381198072,1.2945354
1100,-8.070845,2.9937380943393435,2.4536343621333345,1.093123
1200,-19.059332,3.0618790803059746,7.9020636489747815,1.3123097
