timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,9.780913,0.7454059,0.0,19.254595,9.035507,0.0,0.745405912399292,-9.147318174685251,0.7454059,0.7454059
1,7.986078,1.4742427,8.302908204474512,26.08326,6.511835,0.0,6.828665517249171,-6.549933871532362,0.7288368,-0.016569138
2,10.067292,2.3915405,10.214692970810415,33.90641,7.6757517,3.9064102172851562,7.823152443466665,-15.553286665606286,0.91729784,0.18846107
3,10.246809,3.4767303,9.989047405933253,40.418728,6.7700787,10.41872787475586,6.512317059253565,-27.678585389463535,1.0851898,0.16789198
4,8.262137,4.609741,8.739514845236187,44.548504,3.6523962,14.548503875732422,4.129773634298687,-32.810834014750334,1.1330106,0.047820807
5,9.787956,5.612788,9.250663833465104,48.18638,4.175168,18.186378479003906,3.6378756330866864,-40.611073450889556,1.003047,-0.12996364
6,12.171135,6.7327557,12.618480569928288,54.0721,5.4383793,24.072101593017578,5.885724908917545,-53.65027637036184,1.1199675,0.11692047
7,13.680498,8.019941,14.047698135385119,60.09986,5.660557,30.09986114501953,6.027756805429064,-65.94135777245661,1.2871857,0.16721821
8,12.63081,9.397856,12.397879753371441,63.099884,3.232954,33.099884033203125,3.000023994704449,-69.51069057325908,1.3779149,0.09072924
9,9.393773,10.700629,9.998725732221772,62.39798,1.3068562,32.397979736328125,0.7019035020921933,-66.17546966935576,1.3027737,-0.07514119
10,6.5580807,11.78202,8.293131891200005,58.909092,5.223939,28.90909194946289,3.4888877239733347,-63.118332600305585,1.0813904,-0.22138333
11,13.286363,12.677183,13.99679159601277,60.228703,0.6091795,30.228702545166016,1.3196084447676526,-61.12996291188183,0.89516354,-0.18622684
12,14.3646345,13.890587,15.27175660284226,61.60987,0.47404766,31.60987091064453,1.3811697498149158,-63.78628430577383,1.2134039,0.3182404
13,10.395854,15.115128,10.911725242957942,57.406467,4.7192736,27.40646743774414,4.20340232051862,-59.59455212043015,1.2245402,0.011136293
