timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-1336.9496,4.084464241752777,666.3365687614645,1.4057219
200,-206.91107,3.4082247597304725,101.656611954841,1.3958153
300,-503.2511,7.362014275427596,247.83850726791727,1.5366751
400,-686.33704,9.15423778805612,338.4905476314675,1.4454285
500,-443.2411,4.3523466696177575,219.36216339124383,1.1958778
600,-451.63773,3.607209529359459,223.93477420507767,1.1839795
700,-8881.354,36.40203438263567,4422.387210205138,1.0027571
800,-4153.4614,22.610881619263118,2065.3260358615767,1.282128
900,-9698.735,28.03709502034276,4835.260410401736,0.9472651
1000,-5890.044,20.365000770307788,2934.7423386814476,1.0911412
1100,-1143.576,8.686602188883551,567.3392903888239,1.340521
1200,-110.28365,5.948204857440539,52.08722207512443,1.0345861
