timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,9.787545,0.0,0.0,20.0,9.787545,0.0,0.0,-9.795744788208987,-0.054664254,-0.054664254
1,10.9612665,0.0,0.0,31.025396,10.9612665,1.0253963470458984,0.0,-13.014790602302694,-0.054664254,0.0
2,9.232471,0.0,0.0,40.169395,9.232471,10.169395446777344,0.0,-29.574174454774955,-0.051021338,0.0036429167
3,9.543773,0.0,0.0,49.885807,9.543773,19.885807037353516,0.0,-49.32650941265409,-0.10817909,-0.057157755
4,11.119309,0.0,0.0,62.11239,11.119309,32.112388610839844,0.0,-75.35097196955861,-0.078725934,0.029453158
5,9.84521,0.0,0.0,72.17359,9.84521,42.17359161376953,0.0,-94.19654902156549,-0.08022559,-0.0014996529
6,9.132672,0.0,0.0,81.64657,9.132672,51.646568298339844,0.0,-112.43573054050674,-0.11961377,-0.03938818
7,10.943026,0.0,0.0,92.72877,10.943026,62.72876739501953,0.0,-136.40933321477743,-0.13824081,-0.018627048
8,10.683046,0.0,0.0,103.07774,10.683046,73.07774353027344,0.0,-156.84742246037086,-0.15137565,-0.013134837
9,16.687145,0.0,0.0,120.25308,16.687145,90.25308227539062,0.0,-197.2056622047416,-0.18331385,-0.031938195
10,12.406067,0.0,0.0,133.67606,12.406067,103.67605590820312,0.0,-219.76851102377856,-0.19112742,-0.007813573
11,9.178737,0.0,0.0,143.32805,9.178737,113.32804870605469,0.0,-235.85218749818702,-0.24320245,-0.05207503
12,12.304166,0.0,0.0,157.06288,12.304166,127.06288146972656,0.0,-266.44234728910544,-0.23820615,0.0049962997
13,12.360269,0.0,0.0,170.93759,12.360269,140.93759155273438,0.0,-294.25248423692847,-0.27242374,-0.034217596
14,14.085756,0.0,0.0,185.056,14.085756,155.05599975585938,0.0,-324.21317750420616,-0.28445208,-0.0120283365
15,12.542148,0.0,0.0,199.39943,12.542148,169.39942932128906,0.0,-351.3586923522453,-0.30759883,-0.023146749
16,15.506005,0.0,0.0,215.64168,15.506005,185.6416778564453,0.0,-386.8048817335578,-0.30464172,0.0029571056
17,13.587017,0.0,0.0,229.40952,13.587017,199.40951538085938,0.0,-412.42684232106853,-0.34167826,-0.037036538
18,12.74127,0.0,0.0,242.89337,12.74127,212.89337158203125,0.0,-438.54553569473427,-0.33280003,0.008878231
19,11.195702,0.0,0.0,255.44926,11.195702,225.4492645263672,0.0,-462.110965288137,-0.33071423,0.002085805
20,13.235885,0.0,0.0,269.35748,13.235885,239.35748291015625,0.0,-491.9686616198206,-0.3394133,-0.0086990595
21,9.838841,0.0,0.0,279.6424,9.838841,249.64239501953125,0.0,-509.1428271440709,-0.35416508,-0.014751792
22,12.563393,0.0,0.0,292.96783,12.563393,262.96783447265625,0.0,-538.518449868313,-0.36534595,-0.011180878
23,11.515216,0.0,0.0,305.8676,11.515216,275.86761474609375,0.0,-563.270839744357,-0.37936497,-0.014019012
24,13.082587,0.0,0.0,319.71875,13.082587,289.71875,0.0,-592.5411486987691,-0.39312005,-0.013755083
25,13.6496105,0.0,0.0,334.89035,13.6496105,304.8903503417969,0.0,-623.452181815056,-0.4076848,-0.014564753
26,10.370425,0.0,0.0,346.09863,10.370425,316.0986328125,0.0,-642.5904481539939,-0.423653,-0.015968204
27,12.01534,0.0,0.0,358.4902,12.01534,328.4902038574219,0.0,-669.0187225066148,-0.43564057,-0.011987567
28,12.767816,0.0,0.0,372.30255,12.767816,342.30255126953125,0.0,-697.3966058410458,-0.4485427,-0.012902141
29,16.570906,0.0,0.0,389.9122,16.570906,359.9122009277344,0.0,-736.4199230331905,-0.46293497,-0.014392257
30,13.122112,0.0,0.0,403.88547,13.122112,373.8854675292969,0.0,-760.9189302256043,-0.48103607,-0.018101096
31,12.861017,0.0,0.0,417.71112,12.861017,387.71112060546875,0.0,-788.3095122215902,-0.49574006,-0.014703989
32,12.174183,0.0,0.0,431.60657,12.174183,401.6065673828125,0.0,-815.4142184702134,-0.5100305,-0.014290452
33,12.24608,0.0,0.0,445.68768,12.24608,415.68768310546875,0.0,-843.6491154595373,-0.5243702,-0.014339685
34,15.926958,0.0,0.0,462.79156,15.926958,432.79156494140625,0.0,-881.5384840949438,-0.5387938,-0.014423609
35,14.457505,0.0,0.0,478.3659,14.457505,448.36590576171875,0.0,-911.2188642184209,-0.5560236,-0.017229795
36,11.144504,0.0,0.0,489.72186,11.144504,459.72186279296875,0.0,-930.6183948966728,-0.5719334,-0.015909791
37,11.023123,0.0,0.0,502.6251,11.023123,472.6250915527344,0.0,-956.3036346608776,-0.58358836,-0.011654973
38,13.657793,0.0,0.0,517.2957,13.657793,487.29571533203125,0.0,-988.2803027279261,-0.5965855,-0.01299715
39,15.333333,0.0,0.0,533.0536,15.333333,503.0535888671875,0.0,-1021.4725240208127,-0.61113966,-0.014554143
